"Zemkorite","Na2Ca(CO3)2","hexagonal","Approved","GEN-5919","","{""Na"":1,""Ca"":1,""C"":1,""O"":1}",true
"Zenzénite","Pb3Fe3+4Mn4+3O15","hexagonal","Approved","GEN-5920","P6_3/mcm","{""Pb"":1,""Fe"":1,""Mn"":1,""O"":1}",true
"Zeophyllite","Ca13Si10O28(OH)2F8·6H2O","hexagonal","Approved,Grandfathered","R060150","R-3","{""Ca"":1,""Si"":1,""O"":1,""H"":1,""F"":1}",true
"Zeravshanite","Na2Cs4Zr3Si18O45·2H2O","monoclinic","Approved","GEN-5922","C2/c","{""Na"":1,""Cs"":1,""Zr"":1,""Si"":1,""O"":1,""H"":1}",true
"Zeunerite","Cu(UO2)2(AsO4)2·12H2O","tetragonal","Approved,Grandfathered","GEN-5923","I4/mmm","{""Cu"":1,""U"":1,""O"":1,""As"":1,""H"":1}",true
"Zhanghengite","CuZn","cubic","Approved","GEN-5924","Im3m","{""Cu"":1,""Zn"":1}",true
"Zhanghuifenite","Na3Mn2+4Mg2Al(PO4)6","monoclinic","Approved","R141027","P2_1/n","{""Na"":1,""Mn"":1,""Mg"":1,""Al"":1,""P"":1,""O"":1}",true
"Zhangpeishanite","BaFCl","tetragonal","Approved","GEN-5926","P4/nmm","{""Ba"":1,""F"":1,""Cl"":1}",true
"Zharchikhite","Al(OH)2F","monoclinic","Approved","R061136","P2_1/a","{""Al"":1,""O"":1,""H"":1,""F"":1}",true
"Zhemchuzhnikovite","NaMgAl(C2O4)3·9H2O","hexagonal","Approved","GEN-5928","","{""Na"":1,""Mg"":1,""Al"":1,""C"":1,""O"":1,""H"":1}",true
"Zhengminghuaite","Cu6Fe3As4S12","hexagonal","Approved,Pending publication","GEN-5929","R3","{""Cu"":1,""Fe"":1,""As"":1,""S"":1}",true
"Zhenruite","(MoO3)2·H2O","monoclinic","Approved,Pending publication","R220010","P2_1/m","{""Mo"":1,""O"":1,""H"":1}",true
"Zheshengite","Pb4ZnZn2(AsO4)2(PO4)2(OH)2","triclinic","Approved,Pending publication","GEN-5931","P-1","{""Pb"":1,""Zn"":1,""As"":1,""O"":1,""P"":1,""H"":1}",true
"Zhiqinite","TiSi2","orthorhombic","Approved","GEN-5932","Fddd","{""Ti"":1,""Si"":1}",true
"Ziesite","Cu2V5+2O7","triclinic","Approved","R070482","C2/c","{""Cu"":1,""V"":1,""O"":1}",true
"Zigrasite","MgZr(PO4)2·4H2O","triclinic","Approved","R120143","P-1","{""Mg"":1,""Zr"":1,""P"":1,""O"":1,""H"":1}",true
"Zilbermintsite-(La)","(CaLa5)(Fe3+Al3Fe2+)[Si2O7][SiO4]5O(OH)3","monoclinic","Approved,Pending publication","GEN-5935","P2_1/m","{""Ca"":1,""La"":1,""Fe"":1,""Al"":1,""Si"":1,""O"":1,""H"":1}",true
